DataHora,Pressao_HX710B,Temperatura,VibX,VibY,VibZ,FimCurso,Velocidade
2025-09-18 07:57:54,4.239,21.31,-0.13,0.03,0.96,0,0.049
2025-09-18 07:57:56,4.239,21.31,-0.1,-0.11,0.97,0,0.049
2025-09-18 07:57:58,4.239,21.31,-0.17,-0.01,0.99,0,0.049
2025-09-18 07:58:00,4.239,21.31,-0.14,0.05,0.95,0,0.049
2025-09-18 07:58:02,4.239,21.31,-0.14,0.04,0.95,0,0.049
2025-09-18 07:58:04,4.239,21.31,-0.13,0.07,0.96,1,0.014
2025-09-18 07:58:06,4.239,21.31,-0.14,0.06,0.96,0,0.014
2025-09-18 07:58:08,4.239,21.31,-0.14,0.06,0.94,0,0.014
2025-09-18 07:58:11,4.239,21.31,-0.14,0.06,0.96,1,0.049
2025-09-18 07:58:13,4.239,21.31,-0.14,0.07,0.95,0,0.049
2025-09-18 07:58:15,4.239,21.31,-0.14,0.06,0.95,0,0.049
2025-09-18 07:58:17,4.239,21.31,-0.16,0.05,0.95,1,0.049
2025-09-18 07:58:19,4.239,21.31,-0.13,0.06,0.96,0,0.049
2025-09-18 07:58:21,4.239,21.31,-0.14,0.04,0.95,0,0.049
2025-09-18 07:58:23,4.239,21.31,-0.13,0.06,0.95,1,0.05
2025-09-18 07:58:25,4.239,21.31,-0.13,0.05,0.95,0,0.05
2025-09-18 07:58:27,4.239,21.31,-0.14,0.04,0.95,0,0.05
2025-09-18 07:58:30,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 07:58:32,4.239,21.31,-0.14,0.06,0.96,0,0.05
2025-09-18 07:58:34,4.239,21.31,-0.13,0.04,0.94,1,0.024
2025-09-18 07:58:36,4.239,21.31,-0.13,0.05,0.95,0,0.024
2025-09-18 07:58:39,4.239,21.31,-0.13,0.05,0.95,0,0.024
2025-09-18 07:58:41,4.239,21.31,-0.14,0.05,0.95,1,0.049
2025-09-18 07:58:43,4.239,21.31,-0.15,0.04,0.96,0,0.049
2025-09-18 07:58:45,4.239,21.31,-0.14,0.05,0.96,0,0.049
2025-09-18 07:58:47,4.239,21.31,-0.14,0.05,0.95,1,0.05
2025-09-18 07:58:49,4.239,21.31,-0.11,0.06,0.95,0,0.05
2025-09-18 07:58:51,4.239,21.31,-0.14,0.06,0.96,0,0.05
2025-09-18 07:58:53,4.239,21.31,-0.13,0.07,0.95,1,0.051
2025-09-18 07:58:55,4.239,21.31,-0.14,0.05,0.95,0,0.051
2025-09-18 07:58:57,4.239,21.31,-0.09,0.13,0.92,0,0.051
2025-09-18 07:58:59,4.239,21.31,-0.14,0.05,0.96,0,0.051
2025-09-18 07:59:02,4.239,21.31,-0.14,0.05,0.95,0,0.051
2025-09-18 07:59:04,4.239,21.31,-0.15,0.13,0.84,1,0.025
2025-09-18 07:59:06,4.239,21.31,-0.14,0.05,0.95,0,0.025
2025-09-18 07:59:08,4.239,21.31,-0.13,0.05,0.96,0,0.025
2025-09-18 07:59:10,4.239,21.31,-0.13,0.05,0.96,1,0.05
2025-09-18 07:59:12,4.239,21.31,-0.13,0.06,0.95,0,0.05
2025-09-18 07:59:14,4.239,21.31,-0.14,0.04,0.95,0,0.05
2025-09-18 07:59:16,4.239,21.31,-0.14,0.08,0.94,1,0.05
2025-09-18 07:59:18,4.239,21.31,-0.14,0.06,0.95,0,0.05
2025-09-18 07:59:20,4.239,21.31,-0.13,0.06,0.95,0,0.05
2025-09-18 07:59:23,4.239,21.31,-0.12,0.05,0.96,1,0.05
2025-09-18 07:59:25,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 07:59:27,4.239,21.31,-0.14,0.06,0.95,0,0.05
2025-09-18 07:59:29,4.239,21.31,-0.14,0.04,0.95,0,0.05
2025-09-18 07:59:31,4.239,21.31,-0.13,0.04,0.95,0,0.05
2025-09-18 07:59:33,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 07:59:35,4.239,21.31,-0.14,0.09,0.99,0,0.05
2025-09-18 07:59:37,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 07:59:39,4.239,21.31,0.07,-0.27,0.92,0,0.05
2025-09-18 07:59:41,4.239,21.38,-0.14,0.05,0.96,0,0.05
2025-09-18 07:59:44,4.239,21.31,-0.14,0.05,0.96,0,0.05
2025-09-18 07:59:46,4.239,21.31,-0.14,0.05,0.95,1,0.01
2025-09-18 07:59:48,4.239,21.31,-0.14,0.05,0.95,0,0.01
2025-09-18 07:59:50,4.239,21.31,-0.12,0.11,0.95,0,0.01
2025-09-18 07:59:52,4.239,21.31,-0.13,0.05,0.95,1,0.05
2025-09-18 07:59:54,4.239,21.31,-0.15,0.07,0.97,0,0.05
2025-09-18 07:59:56,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 07:59:58,4.239,21.31,-0.12,0.07,0.95,1,0.05
2025-09-18 08:00:00,4.239,21.31,-0.13,0.05,0.95,0,0.05
2025-09-18 08:00:03,4.239,21.31,-0.14,0.05,0.95,0,0.05
2025-09-18 08:00:05,4.239,21.31,-0.13,0.06,0.93,1,0.05
2025-09-18 08:00:07,4.239,21.31,-0.14,0.07,0.95,0,0.05
2025-09-18 08:00:09,4.239,21.31,-0.13,0.06,0.95,0,0.05
2025-09-18 08:00:11,4.239,21.31,-0.13,0.05,0.95,0,0.05
2025-09-18 08:00:13,4.239,21.31,-0.19,0.05,0.81,0,0.05
2025-09-18 08:00:15,4.239,21.31,-0.13,0.05,0.96,0,0.05
2025-09-18 08:00:17,4.239,21.31,-0.14,0.06,0.96,0,0.05
2025-09-18 08:00:19,4.239,21.31,-0.14,0.05,0.96,0,0.05
